ItemID,SentimentText,SentimentSource,SentimentText
99,0,Sentiment140,اگر دستان بزرگی داشته باشید این دستگیره به نظرتان ناکارآمد خواهد آمد.
100,0,Sentiment140,این دستگیره ناکارآمد است.
101,1,Sentiment140,برای رده‌ کاربرانی که ساخته شده است کیفیت خوبی دارد و کاملا مستحکم می‌ باشد.
102,1,Sentiment140,برای رده‌ کاربرانی که ساخته شده است کیفیت خوبی دارد .
103,0,Sentiment140,برای رده‌ کاربرانی که ساخته شده است کیفیت بدی دارد .
104,0,Sentiment140,برای رده‌ کاربرانی که ساخته شده است کیفیت خوبی ندارد .
105,1,Sentiment140,برای رده‌ کاربرانی که ساخته شده است کاملا مستحکم می ‌باشد.
106,2,Sentiment140,کیفیت ساخت آن با دوربین‌های پیشین تفاوت چندانی ندارد.
107,1,Sentiment140,این دوربین هم با تمام لنزهای ساخت کانن سازگار است.
108,1,Sentiment140,این دوربین با لنزهای ساخت کانن سازگار است.
109,1,Sentiment140,این دوربین با لنزهای کانن سازگار است.
110,1,Sentiment140,این دوربین با لنزهای ایسر سازگار است.
111,0,Sentiment140,این دوربین با لنزهای ایسر سازگار نیست.
112,0,Sentiment140,این دوربین با لنزهای کانن سازگار نیست.
113,2,Sentiment140,لنزها در هنگام اتصال به دوربین باید با نشانه‌ قرمز رنگ منطبق شوند.
114,2,Sentiment140,لنزها هنگام اتصال به دوربین باید با نشانه‌ قرمز رنگ منطبق شوند.
115,2,Sentiment140,لنزها باید با نشانه‌ قرمز رنگ منطبق شوند.
116,2,Sentiment140,جایگاه بیشتر کنترل ‌ها و دکمه ‌ها نیز شبیه به دوربین پیشین می ‌باشد.
117,2,Sentiment140,جایگاه بیشتر دکمه ‌ها شبیه به دوربین پیشین می ‌باشد.
118,2,Sentiment140,جایگاه بیشتر کنترل ‌ها و دکمه ‌ها شبیه به دوربین پیشین می ‌باشد.
119,2,Sentiment140,جایگاه بیشتر کنترل ‌ها و دکمه ‌ها شبیه به مدل پیشین می ‌باشد.
120,2,Sentiment140,اگر هم تغییری رخ داده بیشتر تزئینی بوده است.
121,2,Sentiment140,اگر تغییری رخ داده تزئینی بوده است.
122,2,Sentiment140,دکمه‌ نمایشگر به بالای دوربین و کنار دکمه‌ پاور منتقل شده است.
123,2,Sentiment140,دکمه‌ نمایشگر به بالای دوربین منتقل شده است.
124,2,Sentiment140,دکمه‌ نمایشگر به کنار دکمه‌ پاور منتقل شده است.
125,2,Sentiment140,در پشت دوربین دکمه‌ اطلاعات قرار دارد.
126,2,Sentiment140,پشت دوربین دکمه‌ اطلاعات قرار دارد.
127,2,Sentiment140,شکل بعضی دکمه‌ ها تغییر کرده است.
128,2,Sentiment140,جای بعضی دکمه‌ ها تغییر کرده است.
129,1,Sentiment140,در کل عملکرد همه‌ دکمه‌ ها خیلی خوب نمایش داده شده است.
130,1,Sentiment140,عملکرد همه‌ دکمه‌ ها خیلی خوب نمایش داده شده است.
131,0,Sentiment140,عملکرد همه‌ دکمه‌ ها خیلی ضعیف نمایش داده شده است.
132,0,Sentiment140,عملکرد همه‌ دکمه‌ ها خیلی بد نمایش داده شده است.
133,1,Sentiment140,عملکرد همه‌ دکمه‌ ها خیلی خوب است.
134,0,Sentiment140,عملکرد همه‌ دکمه‌ ها خیلی بد است.
135,0,Sentiment140,به نظرمان آمد گاهی اوقات سخت می‌توان دکمه‌ ها را فشرد.
136,0,Sentiment140,گاهی اوقات سخت می‌توان دکمه‌ ها را فشرد.
137,0,Sentiment140,گاهی اوقات سخت می‌شود دکمه‌ ها را فشرد.
138,2,Sentiment140,این نمایشگر پیش از این بر روی دوربین های مختلفی هم تست شده بود.
139,2,Sentiment140,این نمایشگر بر روی دوربین های مختلفی هم تست شده بود.
140,2,Sentiment140,این نمایشگر بر روی دوربین های مختلفی تست شده بود.
141,2,Sentiment140,این دوربین در حقیقت دومین دوربین کانن است که از نمایشگر چرخنده بهره می ‌برد.
142,2,Sentiment140,این دوربین دومین دوربین کانن است که از نمایشگر چرخنده بهره می ‌برد.
143,1,Sentiment140,برای عکاسی در شرایطی که دوربین در زوایایی خاصی نسبت به چشم قرار دارد مناسب است.
144,0,Sentiment140,برای عکاسی در شرایطی که دوربین در زوایایی خاصی نسبت به چشم قرار دارد مناسب نیست.
145,1,Sentiment140,وقتی دوربین در زوایایی خاصی نسبت به چشم قرار دارد هم مناسب است.
146,0,Sentiment140,وقتی دوربین در زوایایی خاصی نسبت به چشم قرار دارد مناسب نیست.
147,0,Sentiment140,وقتی دوربین در زوایایی خاصی نسبت به چشم قرار دارد عملکرد بدی دارد.
148,0,Sentiment140,وقتی دوربین در زوایایی خاصی نسبت به چشم قرار عملکرد خوبی ندارد.
149,2,Sentiment140,ما این دوربین را با لنز دیگری تست کردیم.
150,0,Sentiment140,لنزهای نیکون اصولا از لنزهای شرکت‌ های دیگرگران قیمت ‌تر می باشند.
151,0,Sentiment140,لنزهای نیکون از لنزهای شرکت ‌های دیگرگران قیمت ‌تر می باشند.
152,0,Sentiment140,لنزهای کانن از لنزهای شرکت ‌های دیگر گران قیمت ‌تر می باشند.
153,1,Sentiment140,سیستم لرزش‌گیر این لنز جدید پیشرفته ‌تراست که احتمالا باید کارآمدی بیشتری داشته باشد.
154,1,Sentiment140,این لنز احتمالا باید کارآمدی بیشتری داشته باشد.
155,0,Sentiment140,این لنز احتمالا باید کارآمدی کمتری داشته باشد.
156,1,Sentiment140,این لنز کارآمدی بیشتری دارد.
157,0,Sentiment140,این لنز کارآمدی کمتری دارد.
158,1,Sentiment140,سیستم لرزش‌گیر این لنز جدید پیشرفته ‌تر از مدل قدیمی است.
159,0,Sentiment140,سیستم لرزش‌گیر این لنز ضعیف تر از مدل قدیمی است.
160,0,Sentiment140,سیستم لرزش‌گیر این لنز بدتر از مدل قدیمی است.
161,1,Sentiment140,سیستم لرزش‌گیر این لنز جدید پیشرفته ‌تر از مدل قدیمی است.
162,1,Sentiment140,سیستم لرزش‌گیر این لنز پیشرفته است.
163,0,Sentiment140,سیستم لرزش‌گیر این لنز قدیمی است.
164,2,Sentiment140,در قسمت بالای دوربین پیچ تنظیم دیده می ‌شود.
165,2,Sentiment140,در قسمت بالای دوربین پیچ تنظیم قرار دارد.
166,2,Sentiment140,در قسمت پایین دوربین پیچ تنظیم قرار دارد.
167,2,Sentiment140,این موارد برای کاربران توضیح خاصی نمی‌خواهد.
168,2,Sentiment140,این مود در حقیقت مخفف واژه لاتین می ‌باشد.
169,2,Sentiment140,این مود مخفف واژه لاتین می ‌باشد.
170,2,Sentiment140,این اسم مخفف واژه لاتین می ‌باشد.
171,2,Sentiment140,دوربین همواره سعی می‌کند عمق میدان را بدست آورد.
172,2,Sentiment140,دوربین همواره سعی می‌کند عمق میدان را بدست آورد.
173,2,Sentiment140,مود خودکار جایگزین مود دوربین‌های پیشین شده است.
174,2,Sentiment140,در این دوربین مود خودکار جایگزین مود دوربین‌های پیشین شده است.
175,2,Sentiment140,این دوربین ماهیت صحنه درون کادر را تشخیص می‌دهد.
176,2,Sentiment140,دوربین این گوشی ماهیت صحنه درون کادر را تشخیص می‌دهد.
177,2,Sentiment140,خیلی شبیه به مود اتوماتیکی موجود روی دوربین‌های کامپکت است.
178,2,Sentiment140,این مود خیلی شبیه به مود اتوماتیکی موجود روی دوربین‌ های کامپکت است.
179,2,Sentiment140,این مود شبیه به مود اتوماتیکی موجود روی دوربین‌ های کامپکت است.
180,2,Sentiment140,این مود شبیه به مود اتوماتیکی موجود روی دوربین‌ های سونی است.
181,1,Sentiment140,ویژگی کاربر دوستانه بودن هم به آن افزوده شده است.
182,1,Sentiment140,ویژگی کاربر پسند بودن هم به آن افزوده شده است.
183,1,Sentiment140,ویژگی کاربر دوستانه بودن هم به این تبلت افزوده شده است.
184,1,Sentiment140,ویژگی کاربر پسند بودن هم به این تبلت افزوده شده است.
185,1,Sentiment140,این دوربین از یک سری فیلتر خلاقانه بهره می‌برد.
186,1,Sentiment140,این دوربین یک سری فیلتر خلاقانه دارد.
187,1,Sentiment140,این دوربین یک سری فیلتر خلاقانه و حرفه ای دارد.
188,1,Sentiment140,دوربین این گوشی یک سری فیلتر خلاقانه و حرفه ای دارد.
189,1,Sentiment140,این فیلتر باعث خفیف شدن هرگونه رفلکس و بازتاب نور در عکس می‌شود و اثر دراماتیکی به آن می‌دهد.
190,1,Sentiment140,این فیلتر باعث خفیف شدن رفلکس و بازتاب نور در عکس می‌شود و اثر دراماتیکی به آن می‌دهد.
191,1,Sentiment140,این فیلتر باعث خفیف شدن رفلکس و بازتاب نور در عکس می‌شود.
192,1,Sentiment140,این فیلتر باعث خفیف شدن رفلکس و بازتاب نور در عکس می‌شود و اثر دراماتیکی به آن می‌دهد.
193,1,Sentiment140,این فیلتر باعث کم شدن رفلکس و بازتاب نور در عکس می‌شود و اثر دراماتیکی به آن می‌دهد.
194,1,Sentiment140,این فیلتر باعث کم شدن رفلکس و بازتاب نور در عکس می‌شود.
195,2,Sentiment140,فیلتر سیاه و سفید عکس گرفته شده را شبیه به عکس‌های قدیمی می‌کند.
196,2,Sentiment140,با فیلتر سیاه و سفید عکس گرفته شده شبیه به عکس‌های قدیمی می‌شود.
197,2,Sentiment140,با فیلتر سیاه و سفید عکس هایی که می گیریم شبیه به عکس‌های قدیمی می‌شود.
198,2,Sentiment140,این افکت کاری می‌کند که یک سوژه همانند یک مدل کوچک مینیاتوری به نظر برسد.
199,2,Sentiment140,این افکت باعث می شود یک سوژه همانند یک مدل کوچک مینیاتوری به نظر برسد.
200,2,Sentiment140,این افکت باعث می شود یک سوژه مثل یک مدل کوچک به نظر برسد.
201,2,Sentiment140,همه این فیلتر ها را می‌توان به عکس‌ های با فرمت جی پگ اعمال کرد.
202,2,Sentiment140,این فیلتر ها را می‌توان به عکس‌ های با فرمت جی پگ اعمال کرد.
203,2,Sentiment140,این فیلتر ها را می‌توان به عکس‌ های دیگر اعمال کرد.
204,2,Sentiment140,یک مود دیگر هم وجود دارد که برای مبتدیانی است که نمی‌خواهند از مود قبلی استفاده کنند.
205,2,Sentiment140,یک مود دیگر وجود دارد برای مبتدیانی است که نمی‌خواهند از مود قبلی استفاده کنند.
206,1,Sentiment140,این محصول در حقیقت مدلی ارتقا یافته از مدل پیشین می ‌باشد.
207,1,Sentiment140,این محصول مدلی ارتقا یافته از مدل پیشین است.
208,0,Sentiment140,این محصول مدلی ضعیف تر از مدل پیشین است.
209,1,Sentiment140,این موبایل در حقیقت مدلی ارتقا یافته از مدل پیشین می ‌باشد.
210,0,Sentiment140,این موبایل در حقیقت مدلی ضعیف تر از مدل پیشین می ‌باشد.
211,1,Sentiment140,این تبلت مدلی ارتقا یافته از مدل پیشین می ‌باشد.
212,0,Sentiment140,این تبلت مدلی ضعیف تر از مدل پیشین می ‌باشد.
213,2,Sentiment140,مود های عکاسی غیر خلاقانه یا مبتدی شامل مود های الف و ب می ‌شود.
214,2,Sentiment140,مود های الف و ب مود های عکاسی غیر خلاقانه یا مبتدی می ‌باشند.
215,0,Sentiment140,این مود بر روی یک دوربین با قابلیت تعویض لنز مفید نیست.
216,1,Sentiment140,این مود بر روی یک دوربین با قابلیت تعویض لنز مفید است.
217,1,Sentiment140,این مود برای دوربین مفید و کاربردی است.
218,0,Sentiment140,این مود برای دوربین مفید نیست.
219,1,Sentiment140,با این مود می‌توانید به راحتی عکس بگیرید.
220,1,Sentiment140,با این مود می‌توانید به راحتی سوژه را تشخیص بدهید و عکس بگیرید.
221,2,Sentiment140,باید در مورد مود های عکاسی صحبت کنیم.
222,2,Sentiment140,در این قسمت می خواهیم در مورد مود های عکاسی صحبت کنیم.
223,2,Sentiment140,مود منوال مود عکاسی کاملا دستی می ‌باشد.
224,2,Sentiment140,مود منوال مود عکاسی دستی می ‌باشد.
225,2,Sentiment140,مود منوال مودی برای عکاسی دستی است.
226,2,Sentiment140,برای عکاسی دستی از مود منوال استفاده می کنیم.
227,2,Sentiment140,در این دوربین برای عکاسی دستی از مود منوال استفاده می کنیم.
228,1,Sentiment140,می‌توان همه‌ پارامترهای نوردهی از جمله سرعت شاتر را اتوماتیک تنظیم کرد تا خلاقانه عکاسی کند.
229,1,Sentiment140,می‌توان همه‌ پارامترهای نوردهی را اتوماتیک تنظیم کرد تا خلاقانه و حرفه ای عکاسی کند.
230,1,Sentiment140,می‌توان همه‌ پارامترهای نوردهی را اتوماتیک تنظیم کرد تا کاملا حرفه ‌ای و دلخواه و خلاقانه عکاسی کنید.
231,2,Sentiment140,این مود برعکس مودهای قبل است.
232,2,Sentiment140,دیافراگم اختیار اصلی شما می باشد.
233,2,Sentiment140,این مود باعث می شود که دیافراگم در اختیار شما باشد.
234,2,Sentiment140,اگر تصویر روشن ‌تر یا تاریک ‌تر از مقدار صحیح شد به شما اخطار می ‌دهد.
235,2,Sentiment140,اگر تصویر روشن ‌تر از مقدار صحیح شد به شما اخطار می ‌دهد.
236,2,Sentiment140,اگر تصویر تاریک ‌تر از مقدار صحیح شد به شما اخطار می ‌دهد.
237,1,Sentiment140,این دوربین از سیستم فوکوس خودکار نقطه ‌ای بهره می ‌برد.
238,1,Sentiment140,این دوربین سیستم فوکوس خودکار نقطه ‌ای دارد.
239,2,Sentiment140,چنین ویژگی ‌هایی بر روی این دوربین و همچنین مدل ‌های پیشین کاملا عادی هستند.
240,2,Sentiment140,چنین ویژگی ‌هایی بر روی این دوربین کاملا عادی هستند.
241,2,Sentiment140,سرعت عکاسی پیاپی این دوربین مانند بقیه مدل ها است.
242,2,Sentiment140,این سرعت تقریبا برابر با سرعت دوربین کانن است.
243,0,Sentiment140,این دوربین دارای رزولوشن ضعیف تری است.
244,0,Sentiment140,دوربین دارای رزولوشن ضعیف تری است.
245,0,Sentiment140,رزولوشن این دوربین ضعیف تر است.
246,0,Sentiment140,دوربین این تبلت دارای رزولوشن ضعیفی است.
247,2,Sentiment140,سیستم نورسنجی هم همانند دوربین‌ های پیشین شامل سه مود می ‌شود.
248,2,Sentiment140,سیستم نورسنجی مانند دوربین‌ های پیشین شامل سه مود می ‌شود.
249,2,Sentiment140,سیستم نورسنجی هم همانند دوربین‌ های پیشین است.
250,2,Sentiment140,سیستم نورسنجی هم شامل سه مود می باشد.
251,2,Sentiment140,باید تفاوت این دو مدل گفته شود تا عکاسان متوجهش شوند.
252,2,Sentiment140,باید تفاوت این دو مدل گفته شود تا بسیاری از عکاسان حرفه‌ای ‌تر هم بدانند.
253,1,Sentiment140,معمولا این مود برای بیشتر شرایط به خوبی جواب می‌ دهد و کل تصویر را پردازش می‌کند.
254,1,Sentiment140,معمولا این مود برای بیشتر شرایط به خوبی جواب می‌ دهد.
255,0,Sentiment140,معمولا این مود برای شرایط مختلف خوب جواب نمی دهد.
256,0,Sentiment140,این مود برای شرایط مختلف خوب جواب نمی دهد.
257,1,Sentiment140,یک ویژگی مفید هم وجود دارد و برای تنظیم دقیق‌ تر نوردهی کاملا کارآمد است.
258,1,Sentiment140,یک ویژگی مفید هم وجود دارد و برای تنظیم نوردهی کاملا کارآمد است.
259,1,Sentiment140,این ویژگی برای تنظیم نوردهی کاملا کارآمد است.
260,0,Sentiment140,یک اشکال که به این دوربین وارد بود کند وارد شدن به مود لایو بود.
261,0,Sentiment140,کند وارد شدن به مود لایو یک اشکال وارد شده به این دوربین بود.
262,0,Sentiment140,کند وارد شدن به مود لایو یک اشکال این دوربین بود.
263,2,Sentiment140,همانند دیگر دوربین ‌ها یک آپشن برای کاربرد مخصوص به خودشان موجود می ‌باشد.
264,2,Sentiment140,همانند دیگر دوربین ‌ها یک آپشن برای این کار وجود دارد.
265,2,Sentiment140,برای فوکوس می ‌بایست از دکمه‌ هوم استفاده می‌کردید.
266,2,Sentiment140,برای فوکوس از دکمه هوم استفاده می کنیم.
267,2,Sentiment140,برای فوکوس کردن از دکمه هوم استفاده می کنیم.
268,1,Sentiment140,ولی با دوربین نیکون این کار آسان شده و با فشردن دکمه‌ی شاتر تا نیمه می ‌توانید فوکوس خودکار را انجام دهید.
269,1,Sentiment140,با دوربین نیکون این کار آسان شده است.
270,2,Sentiment140,دوربین کانن هم به همین گونه است.
271,2,Sentiment140,دوربین کانن هم به این شکل است.
272,2,Sentiment140,فوکوس از منطقه ‌ای انجام می ‌شود که کادر مستطیلی کوچک در آن جا قرار دارد.
273,2,Sentiment140,فوکوس از منطقه ‌ای انجام می ‌شود که کادر مستطیلی در آن قرار دارد.
274,2,Sentiment140,شما می‌ توانید با استفاده از کنترل ‌هایی که جهت دارند جای این مستطیل را در کادر اصلی تغییر دهید.
275,2,Sentiment140,شما می‌ توانید با کنترل ‌هایی که جهت دارند جای این مستطیل را در کادر اصلی تغییر دهید.
276,2,Sentiment140,در مود لایو دو ویژگی فوکوس خودکار و تشخیص چهره وجود دارد.
277,2,Sentiment140,در مود لایو دو ویژگی وجود دارد.
278,0,Sentiment140,این کار سر و صدای زیادی ایجاد می‌کند و فیلم برداری برای لحظه‌ ای قطع می ‌شود.
279,0,Sentiment140,در هنگام فیلم برداری سر و صدای زیادی ایجاد می شود.
280,0,Sentiment140,موقع فیلم برداری سر و صدای زیادی ایجاد می شود.
281,0,Sentiment140,فوکوس خیلی کندتر صورت می‌گیرد.
282,0,Sentiment140,فوکوس خیلی کند صورت می‌گیرد.
283,1,Sentiment140,فوکوس خیلی تند صورت می‌گیرد.
284,1,Sentiment140,در این موبایل فوکوس خیلی تند صورت می‌گیرد.
285,2,Sentiment140,مود تشخیص چهره سعی می‌کند بر روی چهره افراد موجود در کادر فوکوس کند.
286,2,Sentiment140,مود تشخیص چهره بر روی چهره افراد موجود در کادر فوکوس می کند.
287,2,Sentiment140,مود تشخیص چهره بر روی چهره افراد فوکوس می کند.
288,2,Sentiment140,برای شروع فیلم برداری باید از پیچ تنظیم اصلی بر روی مود ویدیو بروید.
289,2,Sentiment140,برای شروع فیلم برداری باید از پیچ تنظیم اصلی استفاده کنید.
290,2,Sentiment140,دکمه‌ لایو که در زیر انگشت شست دست راست قرار می‌گیرد را بفشارید.
291,2,Sentiment140,دکمه‌ لایو را بفشارید.
292,1,Sentiment140,نکته خوب این است که در فیلم برداری می ‌توانید سرعت شاتر و دیافراگم و ‌ایزو را در اختیارداشته باشید.
293,1,Sentiment140,در فیلم برداری می ‌توانید سرعت شاتر و دیافراگم و ‌ایزو را به راحتی در اختیارداشته باشید.
294,2,Sentiment140,با کراپ کردن سنسور فقط می ‌توانید از قسمت میانی سنسور برای فیلم برداری استفاده کنید.
295,2,Sentiment140,با کراپ کردن سنسور می ‌توانید از قسمت میانی سنسور برای فیلم برداری بهره ببرید.
296,2,Sentiment140,می ‌توانید از قسمت میانی سنسور برای فیلم برداری استفاده کنید.
297,1,Sentiment140,این برای زمانی که لنز در دسترس نیست کاملا مفید است.
298,1,Sentiment140,برای زمانی که لنز در دسترس نیست کاملا مفید است.
299,0,Sentiment140,برای زمانی که لنز در دسترس نیست خیلی ضعیف عمل می کند.
300,0,Sentiment140,زمانی که لنز در دسترس نیست خیلی ضعیف عمل می کند.
301,2,Sentiment140,صدا از طریق میکروفون داخلی ضبط می ‌شود.
302,2,Sentiment140,با استفاده از این ویژگی می‌ توان از به هم چسباندن کلیپ ‌ها و فیلم ‌های بلندتر ساخت.
303,2,Sentiment140,با استفاده از این ویژگی می‌ توان کلیپ ‌ها و فیلم ‌های بلندتر ساخت.
304,2,Sentiment140,این ویدیوهای بلندتر در آلبوم ذخیره می ‌شوند و در آن جا موسیقی هم می‌توانید اضافه کنید.
305,2,Sentiment140,این ویدیوها در آلبوم ذخیره می ‌شوند.
306,2,Sentiment140,این دوربین باتری لیتیوم یونی قابل شارژ دارد.
